date,city,random_forest_pred,ridge_pred,svr_pred
2025-12-07 00:00:00+00:00,Islamabad,149.5436311600001,135.93545703251291,128.09421705111498
2025-12-07 01:00:00+00:00,Islamabad,149.5168168600001,135.7961145313631,128.56661729810799
2025-12-07 02:00:00+00:00,Islamabad,149.36675260000013,135.9910476268396,130.1340575370136
2025-12-07 03:00:00+00:00,Islamabad,149.37872810000005,136.12227026587496,131.21800450082839
2025-12-07 04:00:00+00:00,Islamabad,149.36212720000003,135.52520515369005,130.0927152983436
2025-12-07 05:00:00+00:00,Islamabad,149.4909492000001,134.11472411667785,126.79049588973587
2025-12-07 06:00:00+00:00,Islamabad,149.60954840000005,133.3223301286327,125.62512863500976
2025-12-07 07:00:00+00:00,Islamabad,149.60680190000005,133.14064209494606,125.70571762112327
2025-12-07 08:00:00+00:00,Islamabad,148.9142844,133.28288567479845,126.04772139523824
2025-12-07 09:00:00+00:00,Islamabad,148.584049,133.49449810367494,126.39076456896717
2025-12-07 10:00:00+00:00,Islamabad,148.557198,133.52918231824515,126.85031163420855
2025-12-07 11:00:00+00:00,Islamabad,148.45856510000002,133.49435044938946,127.91283773161982
2025-12-07 12:00:00+00:00,Islamabad,148.14776430000003,133.5588890257133,128.5210457611906
2025-12-07 13:00:00+00:00,Islamabad,148.1919206,133.00807997225604,127.11587157896025
2025-12-07 14:00:00+00:00,Islamabad,148.3990209,131.6543007793075,126.34581181616537
2025-12-07 15:00:00+00:00,Islamabad,148.34762310000002,127.35779584344772,125.63381530005556
2025-12-07 16:00:00+00:00,Islamabad,148.19479028,123.16023792158882,124.71127499558403
2025-12-07 17:00:00+00:00,Islamabad,148.88436849999997,118.73688061033214,123.22693228578804
2025-12-07 18:00:00+00:00,Islamabad,147.83701331999998,114.96267535445088,121.11341745087933
2025-12-07 19:00:00+00:00,Islamabad,147.83045632,112.39240562785747,118.83334628519387
2025-12-07 20:00:00+00:00,Islamabad,147.76894478999998,110.68064603814307,117.12549403694442
2025-12-07 21:00:00+00:00,Islamabad,147.78447109,109.71340515165227,115.80410708571465
2025-12-07 22:00:00+00:00,Islamabad,147.91048515000003,109.42455276291068,115.05368704240902
2025-12-07 23:00:00+00:00,Islamabad,148.03562791000004,109.63319666023332,114.74780371268568
2025-12-08 00:00:00+00:00,Islamabad,150.50304283999992,109.00879032926277,117.40826456011338
2025-12-08 01:00:00+00:00,Islamabad,150.5221876399999,109.2243732126274,117.09893430917636
2025-12-08 02:00:00+00:00,Islamabad,150.37051002999996,109.64460446920617,118.11693969413398
2025-12-08 03:00:00+00:00,Islamabad,150.19266340999997,110.01025723315658,118.90945508768404
2025-12-08 04:00:00+00:00,Islamabad,150.36081082999996,109.6488885635095,116.63458368645925
2025-12-08 05:00:00+00:00,Islamabad,150.51969956999994,109.13841444281331,114.93203604214442
2025-12-08 06:00:00+00:00,Islamabad,150.53628157999992,108.75077344330239,114.34050389175964
2025-12-08 07:00:00+00:00,Islamabad,150.6068025399999,108.86048675425165,114.60220559777537
2025-12-08 08:00:00+00:00,Islamabad,150.6025920399999,109.2433811795873,115.27556483467923
2025-12-08 09:00:00+00:00,Islamabad,150.59377183999993,109.5865125462091,115.762287094997
2025-12-08 10:00:00+00:00,Islamabad,150.58368423999994,109.77361445338533,115.74518314760095
2025-12-08 11:00:00+00:00,Islamabad,150.61160353999992,109.95716878249341,115.65998783250089
2025-12-08 12:00:00+00:00,Islamabad,150.33282140999998,110.16428584990167,116.52399039921707
2025-12-08 13:00:00+00:00,Islamabad,150.35052311,110.28374827364117,117.88873693289021
2025-12-08 14:00:00+00:00,Islamabad,150.40804361,110.15558031664047,118.50504152564667
2025-12-08 15:00:00+00:00,Islamabad,150.39078031,109.87269988924535,118.19326159591698
2025-12-08 16:00:00+00:00,Islamabad,150.25556041,109.53256771454028,116.7909402082146
2025-12-08 17:00:00+00:00,Islamabad,150.06718710999996,109.27197819775448,115.24370567863647
2025-12-08 18:00:00+00:00,Islamabad,141.49768685,109.14508740052594,113.8030503609937
2025-12-08 19:00:00+00:00,Islamabad,121.46352452,109.098778974914,112.33515412895402
2025-12-08 20:00:00+00:00,Islamabad,122.99252224000001,109.15899220172838,111.59713997097234
2025-12-08 21:00:00+00:00,Islamabad,123.60900642999997,109.223105127363,111.46119943576461
2025-12-08 22:00:00+00:00,Islamabad,124.19132944999997,109.2821559415217,111.57002847639447
2025-12-08 23:00:00+00:00,Islamabad,124.59653823999999,109.31526126729544,111.7183613800928
2025-12-09 00:00:00+00:00,Islamabad,124.95599177999996,109.01696259466127,112.36270486554659
2025-12-09 01:00:00+00:00,Islamabad,124.91536596999995,109.06006293416647,111.9091328990306
2025-12-09 02:00:00+00:00,Islamabad,124.68804656999993,109.23191504174122,112.0727128238174
2025-12-09 03:00:00+00:00,Islamabad,123.35855625999994,109.38553925640062,112.28135598732345
2025-12-09 04:00:00+00:00,Islamabad,123.35440255999994,109.3498354684232,111.39063972230224
2025-12-09 05:00:00+00:00,Islamabad,123.56780173999994,109.10236443447977,110.74517154689977
2025-12-09 06:00:00+00:00,Islamabad,124.30706569999995,108.64633511267309,110.95683391157729
2025-12-09 07:00:00+00:00,Islamabad,124.07266646999997,108.77260541415906,111.48682803049218
2025-12-09 08:00:00+00:00,Islamabad,123.70620778999997,109.15412417273177,112.03622179385478
2025-12-09 09:00:00+00:00,Islamabad,123.53954073999998,109.61100997363431,112.19308995257651
2025-12-09 10:00:00+00:00,Islamabad,123.49986430999998,109.93185165485275,111.60037430811784
2025-12-09 11:00:00+00:00,Islamabad,122.64152577,110.21087866600183,113.05248863641779
2025-12-09 12:00:00+00:00,Islamabad,122.00502994999997,110.63815600168456,117.04735968106701
2025-12-09 13:00:00+00:00,Islamabad,122.11881828999996,110.9554906364044,119.72762390414135
2025-12-09 14:00:00+00:00,Islamabad,121.09378040999997,110.93209748654405,120.49260024335639
2025-12-09 15:00:00+00:00,Islamabad,121.01700954999997,110.82737060907526,121.38267306478899
2025-12-09 16:00:00+00:00,Islamabad,120.77232129,110.56191900617408,120.99139124141976
2025-12-09 17:00:00+00:00,Islamabad,120.75293904,110.33933374482245,119.28504279457796
2025-12-09 18:00:00+00:00,Islamabad,121.25450086,110.25965900694823,117.99540834300873
2025-12-09 19:00:00+00:00,Islamabad,121.7165395,110.08629678195996,116.09913942398212
2025-12-09 20:00:00+00:00,Islamabad,121.76653951999998,109.91407331845407,114.59836942279713
2025-12-09 21:00:00+00:00,Islamabad,121.70321237999997,109.67065557682122,113.59664777613179
2025-12-09 22:00:00+00:00,Islamabad,121.75915027999997,109.49000141168666,112.92637327744276
2025-12-09 23:00:00+00:00,Islamabad,121.87185952,109.37972487129443,112.43664480677128
